"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
43613,1506822410756,,,,,,,,0.03,0.05,1.0,-3.0,-1.1,-0.2,0,0,,,,,,,,,,,,,,,,,,,
43633,1506822410776,,,,,,,,0.03,0.05,1.0,-3.0,-1.1,-0.2,0,0,,,,,,,,,,,,,,,,,,,
43653,1506822410796,,,,,,,,0.03,0.05,1.0,-3.1,-1.0,-0.2,0,0,,,,,,,,,,,,,,,,,,,
43673,1506822410816,0,128.2,,138.6,0,139.5,,0.03,0.05,1.0,-3.1,-1.0,-0.1,0,0,1,1,0.0,0,35.489845,-119.546097,0.0,0.0,284.4,11,3,1.4,0,0.0,-1,0.0,0.0,0.0,0
43693,1506822410836,,,,,,,,0.03,0.05,1.0,-3.1,-1.1,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43713,1506822410856,,,,,,,,0.03,0.05,1.0,-3.0,-1.1,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43733,1506822410876,,,,,,,,0.03,0.05,1.0,-3.1,-1.1,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43753,1506822410898,,,,,,,,0.03,0.05,1.0,-3.1,-1.1,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43773,1506822410918,,,,,0,,,0.03,0.05,1.0,-3.1,-1.1,-0.1,0,0,1,1,0.0,0,35.489845,-119.546097,0.0,0.0,284.4,11,3,1.4,0,0.0,-1,0.0,0.0,0.0,0
43793,1506822410938,,,,,,,,0.03,0.05,1.0,-3.1,-1.1,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43813,1506822410958,,,,,,,,0.03,0.05,1.0,-3.1,-1.1,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43833,1506822410978,,,,,,,,0.03,0.05,1.0,-3.1,-1.0,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43853,1506822410994,,,,,,,,0.03,0.05,1.0,-3.0,-0.9,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43873,1506822411014,0,127.7,,137.9,0,138.9,,0.03,0.05,1.0,-3.0,-0.8,-0.1,0,0,1,1,0.0,0,35.489845,-119.546097,0.0,0.0,284.4,11,3,1.4,0,0.0,-1,0.0,0.0,0.0,0
43893,1506822411034,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43913,1506822411054,,,,,,,,0.03,0.05,1.0,-2.9,-0.5,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43933,1506822411074,,,,,,,,0.02,0.05,1.0,-3.0,-0.5,-0.1,0,0,,,,,,,,,,,,,,,,,,,
43953,1506822411100,,,,,,,,0.02,0.05,1.0,-3.0,-0.6,-0.2,0,0,,,,,,,,,,,,,,,,,,,
43973,1506822411120,,,,,0,,,0.02,0.05,1.0,-3.0,-0.6,-0.2,0,0,1,1,0.0,0,35.489845,-119.546097,0.0,0.0,284.4,11,3,1.4,0,0.0,-1,0.0,0.0,0.0,0
43993,1506822411140,,,,,,,,0.02,0.05,1.0,-3.0,-0.6,-0.2,0,0,,,,,,,,,,,,,,,,,,,
44013,1506822411160,,,,,,,,0.02,0.05,1.0,-3.0,-0.7,-0.1,0,0,,,,,,,,,,,,,,,,,,,
44033,1506822411180,,,,,,,,0.02,0.05,1.0,-3.0,-0.7,-0.2,0,0,,,,,,,,,,,,,,,,,,,
44053,1506822411200,,,,,,,,0.02,0.05,1.0,-3.0,-0.7,-0.2,0,0,,,,,,,,,,,,,,,,,,,
44073,1506822411220,0,128.2,-0.7,138.7,0,139.7,13.06,0.03,0.05,1.0,-3.0,-0.8,-0.2,0,0,1,1,0.0,0,35.489845,-119.546097,0.0,0.0,284.4,11,3,1.4,0,0.0,-1,0.0,0.0,0.0,0
44093,1506822411240,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.2,0,0,,,,,,,,,,,,,,,,,,,
44113,1506822411260,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.2,0,0,,,,,,,,,,,,,,,,,,,
44133,1506822411280,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.1,0,0,,,,,,,,,,,,,,,,,,,
44153,1506822411300,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.1,0,0,,,,,,,,,,,,,,,,,,,
44173,1506822411320,,,,,0,,,0.03,0.05,1.0,-3.0,-0.8,-0.1,0,0,1,1,0.0,0,35.489845,-119.546097,0.0,0.0,284.4,11,3,1.4,0,0.0,-1,0.0,0.0,0.0,0
44193,1506822411340,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.2,0,0,,,,,,,,,,,,,,,,,,,
44213,1506822411360,,,,,,,,0.03,0.05,1.0,-3.0,-0.8,-0.2,0,0,,,,,,,,,,,,,,,,,,,
