"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
21690343,1506895189152,,,,,,,,0.02,0.1,1.0,-3.1,-0.5,-0.3,20,0,,,,,,,,,,,,,,,,,,
21690363,1506895189172,,,,,,,,0.02,0.11,1.01,-3.1,-0.5,-0.2,360,0,,,,,,,,,,,,,,,,,,
21690383,1506895189194,,,,,,,,0.02,0.1,1.02,-3.2,-0.3,-0.1,360,0,,,,,,,,,,,,,,,,,,
21690403,1506895189214,,,,,,,,0.01,0.09,1.01,-3.1,-0.6,0.0,360,0,,,,,,,,,,,,,,,,,,
21690425,1506895189236,0,223.4,,215.3,0,222.4,,0.02,0.11,1.02,-3.1,-0.7,-0.0,420,0,0,1,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7876,4.4783,83
21690444,1506895189255,,,,,,,,0.02,0.1,1.01,-3.0,-0.6,-0.2,540,0,,,,,,,,,,,,,,,,,,
21690464,1506895189275,,,,,,,,0.01,0.09,1.01,-3.0,-0.6,-0.3,540,0,,,,,,,,,,,,,,,,,,
21690484,1506895189295,,,,,,,,0.03,0.11,1.01,-3.0,-0.2,-0.1,640,0,,,,,,,,,,,,,,,,,,
21690504,1506895189315,,,,,,,,0.04,0.11,1.01,-2.9,-0.4,-0.2,760,0,,,,,,,,,,,,,,,,,,
21690526,1506895189337,,,,,1,,,0.02,0.09,0.99,-2.9,-0.2,-0.5,860,0,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7892,4.48,83
21690545,1506895189356,,,,,,,,-0.02,0.03,1.01,-2.9,0.5,-0.6,960,0,,,,,,,,,,,,,,,,,,
21690565,1506895189376,,,,,,,,-0.01,0.02,1.05,-3.0,0.8,-0.5,1020,0,,,,,,,,,,,,,,,,,,
21690585,1506895189394,,,,,,,,0.0,0.01,1.06,-3.1,0.0,-0.4,1060,2,,,,,,,,,,,,,,,,,,
21690605,1506895189414,,,,,,,,0.01,0.03,1.08,-3.2,-0.1,-0.6,1100,2,,,,,,,,,,,,,,,,,,
21690627,1506895189436,0,223.2,,215.7,4,222.2,,0.03,0.02,1.07,-3.1,-0.4,-0.7,1160,139860,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7909,4.4817,83
21690646,1506895189455,,,,,,,,0.03,0.04,1.02,-3.1,-0.2,-0.5,1260,0,,,,,,,,,,,,,,,,,,
21690666,1506895189475,,,,,,,,0.03,0.04,0.97,-3.1,0.0,-0.5,1300,0,,,,,,,,,,,,,,,,,,
21690686,1506895189495,,,,,,,,0.01,0.03,0.92,-3.1,0.3,-0.5,1320,0,,,,,,,,,,,,,,,,,,
21690706,1506895189515,,,,,,,,0.01,0.04,0.96,-3.2,0.6,-0.5,1420,0,,,,,,,,,,,,,,,,,,
21690728,1506895189537,,,,,12,,,0.01,0.05,0.99,-3.1,1.0,-0.5,1420,0,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7926,4.4833,83
21690747,1506895189556,,,,,,,,-0.0,0.06,0.99,-3.1,0.9,-0.4,1480,0,,,,,,,,,,,,,,,,,,
21690767,1506895189576,,,,,,,,0.0,0.06,0.98,-3.0,0.7,-0.3,1500,0,,,,,,,,,,,,,,,,,,
21690787,1506895189596,,,,,,,,0.0,0.06,0.98,-3.0,0.4,-0.3,1540,0,,,,,,,,,,,,,,,,,,
21690807,1506895189616,,,,,,,,0.01,0.06,0.98,-3.0,0.9,-0.2,1560,0,,,,,,,,,,,,,,,,,,
21690829,1506895189638,0,223.0,,215.6,15,222.3,,0.01,0.08,0.99,-3.0,0.9,-0.2,1580,0,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7942,4.485,83
21690848,1506895189657,,,,,,,,0.02,0.07,0.98,-3.0,0.6,-0.3,1600,0,,,,,,,,,,,,,,,,,,
21690868,1506895189677,,,,,,,,0.01,0.07,0.99,-3.0,0.7,-0.3,1580,0,,,,,,,,,,,,,,,,,,
21690888,1506895189697,,,,,,,,0.01,0.08,0.97,-3.0,0.4,-0.4,1600,0,,,,,,,,,,,,,,,,,,
21690908,1506895189717,,,,,,,,0.01,0.06,0.98,-3.0,0.3,-0.3,1620,0,,,,,,,,,,,,,,,,,,
21690930,1506895189739,,,,,17,,,0.01,0.07,0.98,-3.0,0.2,-0.2,1640,0,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7959,4.4867,83
21690949,1506895189758,,,,,,,,0.02,0.07,0.98,-3.0,0.2,-0.3,1620,0,,,,,,,,,,,,,,,,,,
21690969,1506895189778,,,,,,,,0.01,0.08,0.99,-3.0,0.0,-0.3,1620,0,,,,,,,,,,,,,,,,,,
21690989,1506895189797,,,,,,,,0.02,0.07,0.99,-3.0,0.3,-0.2,1600,0,,,,,,,,,,,,,,,,,,
21691009,1506895189817,,,,,,,,0.02,0.08,1.01,-3.0,0.1,-0.2,1600,0,,,,,,,,,,,,,,,,,,
21691031,1506895189839,0,223.5,3.6,216.0,22,222.8,13.5,0.01,0.09,1.01,-3.0,0.1,-0.2,1580,0,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7976,4.4883,83
21691050,1506895189858,,,,,,,,0.01,0.09,0.99,-3.0,0.4,-0.2,1560,0,,,,,,,,,,,,,,,,,,
21691070,1506895189878,,,,,,,,0.01,0.08,1.01,-3.0,0.1,-0.2,1560,0,,,,,,,,,,,,,,,,,,
21691090,1506895189900,,,,,,,,0.0,0.08,1.0,-2.9,0.4,-0.2,1540,0,,,,,,,,,,,,,,,,,,
21691110,1506895189920,,,,,,,,0.02,0.09,1.01,-2.9,0.4,-0.2,1520,0,,,,,,,,,,,,,,,,,,
21691132,1506895189942,,,,,23,,,0.01,0.1,1.0,-3.0,0.1,-0.2,1500,0,0,0,0.0,35.48951,-119.544029,0.0,2.784,239.5,11,3,1.3,82,2.4667,0,0.0,6.7993,4.49,83
21691151,1506895189961,,,,,,,,0.01,0.09,1.0,-3.0,0.3,-0.2,1500,0,,,,,,,,,,,,,,,,,,
21691171,1506895189981,,,,,,,,0.01,0.09,1.01,-3.0,-0.0,-0.1,1460,0,,,,,,,,,,,,,,,,,,
21691191,1506895189991,,,,,,,,0.01,0.09,1.0,-3.0,-0.1,-0.2,1460,0,,,,,,,,,,,,,,,,,,
21691211,1506895190011,,,,,,,,0.01,0.09,0.99,-3.0,-0.2,-0.2,1440,0,,,,,,,,,,,,,,,,,,
