"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
51321,1464552250766,,,,,,,0.01,0.08,0.98,-3.0,0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51221,1464552250666,,,,,,,0.01,0.08,0.99,-3.1,-0.4,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51241,1464552250686,,,,,,,0.01,0.08,0.99,-3.0,-0.3,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51261,1464552250706,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51281,1464552250726,,,,,,,0.01,0.07,0.98,-3.0,0.3,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51301,1464552250746,,,,0,,,0.01,0.07,0.98,-3.0,0.3,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51321,1464552250766,,,,,,,0.01,0.08,0.98,-3.0,0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51401,1464552250846,0.003,59,58,0,59,,0.01,0.08,0.99,-3.0,0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,0.0,0.0,0
51421,1464552250866,,,,,,,0.01,0.08,0.99,-3.0,0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51441,1464552250886,,,,,,,0.01,0.08,0.99,-3.0,0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51461,1464552250906,,,,,,,0.01,0.08,0.99,-3.0,0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51481,1464552250926,,,,,,,0.01,0.08,0.99,-3.0,-0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51501,1464552250946,,,,0,,,0.01,0.08,0.99,-3.0,-0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51521,1464552250966,,,,,,,0.01,0.08,0.99,-3.0,-0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51541,1464552250981,,,,,,,0.01,0.08,0.99,-3.0,-0.0,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51561,1464552251006,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51581,1464552251026,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51601,1464552251046,0.003,60,59,0,59,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,0.0,0.0,0
51621,1464552251066,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51641,1464552251086,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51661,1464552251106,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51681,1464552251126,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51701,1464552251145,,,,0,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51721,1464552251166,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51741,1464552251185,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51761,1464552251206,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51781,1464552251226,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51801,1464552251246,0.003,60,59,0,59,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,0.0,0.0,0
51821,1464552251266,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51841,1464552251285,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51861,1464552251306,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51881,1464552251326,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51901,1464552251346,,,,0,,,0.01,0.08,0.99,-3.0,-0.1,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51921,1464552251366,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51941,1464552251386,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51961,1464552251406,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51981,1464552251426,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
52001,1464552251398,0.003,60,59,0,59,13.26,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
52021,1464552251437,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
