"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Distance"|"Miles"|0.0|0.0|10,"Altitude"|"Feet"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
1605287,1480652860131,,,,,,,,-0.04,0.06,0.99,-3.2,0.3,0.1,1440,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605147,1480652859985,,,,,,,,-0.05,0.1,1.01,-3.2,0.2,0.3,3160,0,,,,,,,,,,,,,,,,,,,
1605167,1480652860007,,,,,,,,-0.05,0.1,1.01,-3.2,0.1,0.3,3160,0,,,,,,,,,,,,,,,,,,,
1605187,1480652860027,,,,,,,,-0.05,0.09,1.0,-3.2,0.1,0.3,3160,0,,,,,,,,,,,,,,,,,,,
1605207,1480652860047,,,,,,,,-0.04,0.08,1.0,-3.2,0.1,0.2,3160,0,,,,,,,,,,,,,,,,,,,
1605227,1480652860067,0,44.8,0.0,44.8,0,46.3,9.32,-0.04,0.07,1.0,-3.2,0.2,0.2,3160,0,1,0,0.0,0,37.478367,-122.203728,0.0,0.0,13.5,9,3,1.7,0,0.0,-1,0.0,0.0,0.0,0
1605247,1480652860091,,,,,,,,-0.04,0.07,1.0,-3.2,0.2,0.1,0,0,,,,,,,,,,,,,,,,,,,
1605267,1480652860111,,,,,,,,-0.04,0.06,0.99,-3.2,0.2,0.1,1440,0,,,,,,,,,,,,,,,,,,,
1605287,1480652860131,,,,,,,,-0.04,0.06,0.99,-3.2,0.3,0.1,1440,0,,,,,,,,,,,,,,,,,,,
