"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|5,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Distance"|"Miles"|0.0|0.0|10,"Altitude"|"Feet"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550428,1480295092934,0,47.6,0.0,44.7,0,47.7,,-0.06,0.11,1.0,-3.2,0.3,0.4,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
550448,1480295092954,,,,,,,,-0.06,0.11,1.0,-3.2,0.3,0.4,160,0,,,,,,,,,,,,,,,,,
550468,1480295092974,,,,,,,,-0.05,0.11,1.0,-3.2,0.4,0.4,160,0,,,,,,,,,,,,,,,,,
550488,1480295092994,,,,,,,,-0.05,0.1,1.0,-3.2,0.4,0.5,160,0,,,,,,,,,,,,,,,,,
550508,1480295093014,,,,,,,,-0.04,0.08,1.01,-3.2,0.3,0.5,160,0,,,,,,,,,,,,,,,,,
550528,1480295093034,,,,,0,,,-0.05,0.09,1.01,-3.2,0.3,0.4,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
550548,1480295093054,,,,,,,,-0.05,0.08,1.01,-3.1,0.4,0.4,160,0,,,,,,,,,,,,,,,,,
550568,1480295093074,,,,,,,,-0.05,0.08,1.01,-3.2,0.5,0.4,160,0,,,,,,,,,,,,,,,,,
550588,1480295092995,,,,,,,,-0.05,0.06,1.0,-3.2,0.5,0.3,160,0,,,,,,,,,,,,,,,,,
550608,1480295093015,,,,,,,,-0.04,0.06,1.0,-3.2,0.6,0.2,160,0,,,,,,,,,,,,,,,,,
550628,1480295093035,0,50.4,0.25,48.3,0,50.0,10.69,-0.04,0.06,0.99,-3.1,0.7,0.1,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
550648,1480295093055,,,,,,,,-0.03,0.06,0.99,-3.1,0.7,0.1,160,0,,,,,,,,,,,,,,,,,
