"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
58554,1490380269366,,,,,,,,-0.02,0.07,0.98,-3.2,0.5,-0.2,840,11,,,,,,,,,,,,,,,,,,,
58574,1490380269428,,,,,65,,,-0.02,0.07,0.99,-3.2,0.3,-0.3,840,11,1,1,84.0,0,37.478546,-122.203972,0.0,0.0,110.0,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
58594,1490380269448,,,,,,,,-0.03,0.07,0.98,-3.2,0.4,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58614,1490380269468,,,,,,,,-0.03,0.06,0.98,-3.2,0.4,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58634,1490380269488,,,,,,,,-0.03,0.06,0.98,-3.2,0.4,-0.3,820,11,,,,,,,,,,,,,,,,,,,
58654,1490380269508,,,,,,,,-0.03,0.07,0.97,-3.2,0.5,-0.2,820,11,,,,,,,,,,,,,,,,,,,
58674,1490380269530,0,48.2,,52.8,63,52.7,,-0.03,0.07,0.98,-3.2,0.4,-0.2,820,11,1,1,84.0,0,37.478546,-122.203972,0.0,0.0,87.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
58694,1490380269550,,,,,,,,-0.04,0.08,0.99,-3.1,0.3,-0.3,820,11,,,,,,,,,,,,,,,,,,,
58714,1490380269570,,,,,,,,-0.04,0.07,0.99,-3.1,0.3,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58734,1490380269590,,,,,,,,-0.04,0.07,0.99,-3.2,0.4,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58754,1490380269610,,,,,,,,-0.04,0.07,0.98,-3.2,0.4,-0.3,820,11,,,,,,,,,,,,,,,,,,,
58774,1490380269629,,,,,65,,,-0.04,0.07,0.98,-3.2,0.4,-0.2,820,11,1,1,82.0,0,37.478546,-122.203972,0.0,0.0,82.7,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
58794,1490380269649,,,,,,,,-0.04,0.07,0.98,-3.2,0.4,-0.2,820,11,,,,,,,,,,,,,,,,,,,
58814,1490380269669,,,,,,,,-0.05,0.07,0.99,-3.2,0.4,-0.3,820,11,,,,,,,,,,,,,,,,,,,
58834,1490380269689,,,,,,,,-0.05,0.06,0.99,-3.1,0.3,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58854,1490380269709,,,,,,,,-0.06,0.06,0.99,-3.2,0.2,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58874,1490380269727,0,46.4,,52.0,64,49.6,,-0.06,0.06,0.98,-3.2,0.3,-0.3,820,11,1,1,82.0,0,37.478546,-122.203972,0.0,0.0,82.5,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
58894,1490380269747,,,,,,,,-0.05,0.06,0.98,-3.2,0.3,-0.2,820,11,,,,,,,,,,,,,,,,,,,
58914,1490380269767,,,,,,,,-0.05,0.07,0.99,-3.2,0.2,-0.1,820,11,,,,,,,,,,,,,,,,,,,
58934,1490380269787,,,,,,,,-0.06,0.07,0.99,-3.1,0.2,-0.3,820,11,,,,,,,,,,,,,,,,,,,
58954,1490380269807,,,,,,,,-0.06,0.06,0.99,-3.1,0.2,-0.4,820,11,,,,,,,,,,,,,,,,,,,
58974,1490380269827,,,,,64,,,-0.06,0.06,0.99,-3.1,0.2,-0.3,820,11,1,1,82.0,0,37.478546,-122.203972,0.0,0.0,80.4,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
58994,1490380269847,,,,,,,,-0.06,0.06,0.98,-3.1,0.3,-0.3,820,11,,,,,,,,,,,,,,,,,,,
59014,1490380269867,,,,,,,,-0.06,0.06,0.98,-3.1,0.3,-0.2,800,11,,,,,,,,,,,,,,,,,,,
59034,1490380269887,,,,,,,,-0.06,0.07,0.98,-3.1,0.1,-0.2,800,11,,,,,,,,,,,,,,,,,,,
59054,1490380269907,,,,,,,,-0.07,0.07,0.98,-3.1,0.2,-0.3,800,11,,,,,,,,,,,,,,,,,,,
59074,1490380269927,0,48.2,0.3,54.4,61,49.9,14.81,-0.07,0.06,0.98,-3.1,0.2,-0.4,800,11,1,1,80.0,0,37.478546,-122.203972,0.0,0.0,79.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59094,1490380269947,,,,,,,,-0.06,0.06,0.98,-3.1,0.2,-0.3,800,11,,,,,,,,,,,,,,,,,,,
59114,1490380269967,,,,,,,,-0.06,0.07,0.97,-3.1,0.2,-0.2,800,11,,,,,,,,,,,,,,,,,,,
59134,1490380269987,,,,,,,,-0.05,0.07,0.98,-3.1,0.1,-0.2,820,11,,,,,,,,,,,,,,,,,,,
59154,1490380270007,,,,,,,,-0.06,0.07,0.99,-3.1,0.1,-0.3,820,11,,,,,,,,,,,,,,,,,,,
59174,1490380270027,,,,,63,,,-0.06,0.06,0.99,-3.1,0.1,-0.4,800,11,1,1,82.0,0,37.478546,-122.203972,0.0,0.0,78.6,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59194,1490380270047,,,,,,,,-0.06,0.06,0.99,-3.1,0.0,-0.4,800,11,,,,,,,,,,,,,,,,,,,
59214,1490380270067,,,,,,,,-0.06,0.06,0.99,-3.1,0.2,-0.3,800,2,,,,,,,,,,,,,,,,,,,
59234,1490380270087,,,,,,,,-0.06,0.06,0.99,-3.1,0.2,-0.2,780,2,,,,,,,,,,,,,,,,,,,
59254,1490380270107,,,,,,,,-0.07,0.06,0.99,-3.1,0.2,-0.2,780,2,,,,,,,,,,,,,,,,,,,
59274,1490380270127,1,46.7,,51.7,61,51.1,,-0.08,0.06,1.0,-3.1,0.3,-0.4,780,2,1,1,780.0,0,37.478546,-122.203972,0.0,0.0,78.6,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59294,1490380270127,,,,,,,,-0.08,0.06,0.99,-3.1,0.3,-0.3,780,2,,,,,,,,,,,,,,,,,,,
59314,1490380270147,,,,,,,,-0.08,0.06,0.99,-3.1,0.4,-0.2,760,2,,,,,,,,,,,,,,,,,,,
59334,1490380270167,,,,,,,,-0.08,0.06,0.99,-3.1,0.4,-0.2,740,2,,,,,,,,,,,,,,,,,,,
59354,1490380270187,,,,,,,,-0.09,0.06,0.99,-3.1,0.3,-0.3,720,2,,,,,,,,,,,,,,,,,,,
59374,1490380270227,,,,,59,,,-0.09,0.06,0.99,-3.1,0.3,-0.3,720,8,1,1,740.0,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59394,1490380270247,,,,,,,,-0.09,0.06,0.99,-3.1,0.4,-0.2,720,8,,,,,,,,,,,,,,,,,,,
59414,1490380270267,,,,,,,,-0.09,0.06,0.98,-3.0,0.4,-0.2,720,8,,,,,,,,,,,,,,,,,,,
59434,1490380270287,,,,,,,,-0.09,0.05,0.99,-3.0,0.3,-0.2,720,8,,,,,,,,,,,,,,,,,,,
59454,1490380270307,,,,,,,,-0.09,0.06,0.99,-3.0,0.4,-0.2,720,8,,,,,,,,,,,,,,,,,,,
59474,1490380270325,0,46.4,,52.1,57,50.5,,-0.09,0.06,0.99,-3.0,0.4,-0.1,700,8,1,1,102.857,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59494,1490380270345,,,,,,,,-0.09,0.05,0.99,-3.0,0.5,-0.2,700,8,,,,,,,,,,,,,,,,,,,
59514,1490380270365,,,,,,,,-0.1,0.06,0.99,-3.1,0.6,-0.3,700,15,,,,,,,,,,,,,,,,,,,
59534,1490380270385,,,,,,,,-0.09,0.08,0.98,-3.1,0.6,-0.2,700,15,,,,,,,,,,,,,,,,,,,
59554,1490380270405,,,,,,,,-0.1,0.07,0.99,-3.1,0.5,-0.2,700,15,,,,,,,,,,,,,,,,,,,
59574,1490380270425,,,,,54,,,-0.1,0.06,0.99,-3.1,0.4,-0.3,700,15,1,1,46.667,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59594,1490380270445,,,,,,,,-0.09,0.07,0.98,-3.1,0.6,-0.2,720,17,,,,,,,,,,,,,,,,,,,
59614,1490380270465,,,,,,,,-0.09,0.06,0.98,-3.2,0.7,-0.2,720,17,,,,,,,,,,,,,,,,,,,
59634,1490380270485,,,,,,,,-0.1,0.06,0.99,-3.2,0.7,-0.4,720,18,,,,,,,,,,,,,,,,,,,
59654,1490380270505,,,,,,,,-0.1,0.07,0.99,-3.2,0.8,-0.4,720,18,,,,,,,,,,,,,,,,,,,
59674,1490380270527,0,46.4,,52.5,55,49.5,,-0.09,0.08,0.98,-3.2,0.9,-0.3,700,18,1,1,40.0,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59694,1490380270547,,,,,,,,-0.09,0.08,0.98,-3.2,0.8,-0.3,720,20,,,,,,,,,,,,,,,,,,,
59714,1490380270567,,,,,,,,-0.1,0.07,0.98,-3.2,0.8,-0.4,720,20,,,,,,,,,,,,,,,,,,,
59734,1490380270587,,,,,,,,-0.1,0.07,0.98,-3.2,0.8,-0.4,720,20,,,,,,,,,,,,,,,,,,,
59754,1490380270607,,,,,,,,-0.09,0.07,0.98,-3.2,0.8,-0.3,720,20,,,,,,,,,,,,,,,,,,,
59774,1490380270622,,,,,52,,,-0.1,0.07,0.98,-3.2,0.7,-0.3,740,45,1,1,36.0,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59794,1490380270642,,,,,,,,-0.1,0.06,0.99,-3.2,0.7,-0.4,740,23,,,,,,,,,,,,,,,,,,,
59814,1490380270662,,,,,,,,-0.1,0.07,0.98,-3.2,0.7,-0.3,740,23,,,,,,,,,,,,,,,,,,,
59834,1490380270682,,,,,,,,-0.09,0.07,0.97,-3.3,0.8,-0.2,740,23,,,,,,,,,,,,,,,,,,,
59854,1490380270702,,,,,,,,-0.09,0.07,0.98,-3.3,0.7,-0.2,740,23,,,,,,,,,,,,,,,,,,,
59874,1490380270720,1,49.1,,54.9,54,51.5,,-0.09,0.06,0.99,-3.3,0.7,-0.4,760,23,1,1,32.174,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59894,1490380270740,,,,,,,,-0.1,0.07,0.98,-3.3,0.7,-0.3,760,23,,,,,,,,,,,,,,,,,,,
59914,1490380270760,,,,,,,,-0.09,0.07,0.98,-3.3,0.7,-0.2,760,46,,,,,,,,,,,,,,,,,,,
59934,1490380270780,,,,,,,,-0.09,0.08,0.98,-3.3,0.7,-0.1,780,46,,,,,,,,,,,,,,,,,,,
59954,1490380270800,,,,,,,,-0.1,0.08,0.98,-3.3,0.7,-0.2,780,26,,,,,,,,,,,,,,,,,,,
59974,1490380270820,,,,,53,,,-0.09,0.07,0.98,-3.3,0.7,-0.3,780,26,1,1,16.957,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
59994,1490380270840,,,,,,,,-0.09,0.08,0.98,-3.3,0.8,-0.2,760,26,,,,,,,,,,,,,,,,,,,
60014,1490380270860,,,,,,,,-0.08,0.08,0.98,-3.4,0.8,-0.2,760,31,,,,,,,,,,,,,,,,,,,
60034,1490380270880,,,,,,,,-0.09,0.08,0.99,-3.4,0.8,-0.2,780,43,,,,,,,,,,,,,,,,,,,
60054,1490380270900,,,,,,,,-0.09,0.08,0.99,-3.3,0.9,-0.4,780,43,,,,,,,,,,,,,,,,,,,
60074,1490380270920,0,48.7,0.2,52.8,56,52.1,14.89,-0.09,0.07,0.99,-3.4,0.9,-0.4,780,43,1,1,26.0,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
60094,1490380270940,,,,,,,,-0.08,0.08,0.98,-3.4,0.9,-0.3,780,29,,,,,,,,,,,,,,,,,,,
60114,1490380270960,,,,,,,,-0.08,0.08,0.98,-3.4,0.9,-0.3,780,29,,,,,,,,,,,,,,,,,,,
60134,1490380270980,,,,,,,,-0.08,0.08,0.99,-3.4,0.9,-0.3,780,48,,,,,,,,,,,,,,,,,,,
60154,1490380271000,,,,,,,,-0.09,0.07,0.99,-3.4,0.9,-0.5,760,48,,,,,,,,,,,,,,,,,,,
60174,1490380271024,,,,,57,,,-0.08,0.07,0.99,-3.4,1.0,-0.4,760,29,1,1,16.596,0,37.478546,-122.203972,0.0,0.0,82.1,4,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
60194,1490380271044,,,,,,,,-0.08,0.07,0.98,-3.4,1.0,-0.3,780,29,,,,,,,,,,,,,,,,,,,
