"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
25511134,1490486163923,,,,,,,,0.0,0.06,0.99,-3.0,0.8,-0.2,60,0,,,,,,,,,,,,,,,,,,,
25511154,1490486163943,,,,,,,,0.0,0.06,0.99,-3.1,0.8,-0.2,60,0,,,,,,,,,,,,,,,,,,,
25511174,1490486163963,,,,,,,,-0.0,0.06,0.99,-3.0,0.9,-0.1,60,0,,,,,,,,,,,,,,,,,,,
25511194,1490486163983,,,,,,,,0.01,0.08,0.99,-3.1,0.8,0.0,60,0,,,,,,,,,,,,,,,,,,,
25511216,1490486163996,,,,,0,,,0.01,0.08,1.01,-3.1,0.8,0.0,200,0,1,1,0.0,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,2.3,134,2.5067,2,0.1833,17.9358,17.8017,135
25511235,1490486164015,,,,,,,,0.01,0.08,1.01,-3.1,0.8,0.0,200,0,,,,,,,,,,,,,,,,,,,
25511255,1490486164035,,,,,,,,0.01,0.07,1.0,-3.0,0.7,-0.1,200,0,,,,,,,,,,,,,,,,,,,
25511275,1490486164055,,,,,,,,0.01,0.08,1.0,-3.1,0.6,-0.1,300,0,,,,,,,,,,,,,,,,,,,
25511295,1490486164075,,,,,,,,0.01,0.07,1.0,-3.1,0.6,-0.1,300,0,,,,,,,,,,,,,,,,,,,
25511317,1490486164103,0,134.9,,155.9,0,154.9,,0.01,0.07,0.99,-3.1,0.3,-0.2,300,0,1,1,0.0,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,2.3,134,2.5067,2,0.1833,17.9376,17.8033,135
25511336,1490486164122,,,,,,,,0.02,0.08,0.99,-3.2,0.4,-0.1,400,0,,,,,,,,,,,,,,,,,,,
25511356,1490486164142,,,,,,,,0.01,0.05,1.0,-3.0,0.6,-0.1,400,0,,,,,,,,,,,,,,,,,,,
25511376,1490486164162,,,,,,,,0.0,0.07,0.99,-3.1,0.9,-0.0,520,0,,,,,,,,,,,,,,,,,,,
25511396,1490486164182,,,,,,,,-0.01,0.07,0.99,-3.2,0.7,0.1,700,0,,,,,,,,,,,,,,,,,,,
25511418,1490486164206,,,,,0,,,-0.0,0.07,1.01,-3.1,0.8,-0.1,820,0,1,0,0.0,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,2.3,134,2.5067,2,0.1833,17.9393,17.805,135
25511437,1490486164225,,,,,,,,0.0,0.07,0.99,-3.0,0.6,-0.4,900,0,,,,,,,,,,,,,,,,,,,
25511457,1490486164245,,,,,,,,-0.0,0.07,0.99,-3.0,0.5,-0.5,920,0,,,,,,,,,,,,,,,,,,,
25511477,1490486164265,,,,,,,,-0.01,0.07,0.98,-3.0,0.7,-0.5,900,0,,,,,,,,,,,,,,,,,,,
25511497,1490486164285,,,,,,,,-0.02,0.08,0.97,-2.9,0.6,-0.6,920,0,,,,,,,,,,,,,,,,,,,
25511519,1490486164307,0,135.9,,156.1,1,154.0,,-0.02,0.07,0.97,-3.0,0.6,-0.5,920,0,1,0,0.0,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,2.3,134,2.5067,2,0.1833,17.941,17.8067,135
25511538,1490486164326,,,,,,,,-0.03,0.06,0.97,-3.0,0.7,-0.5,900,0,,,,,,,,,,,,,,,,,,,
25511558,1490486164346,,,,,,,,-0.03,0.05,0.96,-3.0,0.8,-0.5,900,6,,,,,,,,,,,,,,,,,,,
25511578,1490486164366,,,,,,,,-0.02,0.05,0.96,-3.0,0.9,-0.4,920,6,,,,,,,,,,,,,,,,,,,
25511598,1490486164386,,,,,,,,-0.01,0.05,0.97,-3.1,0.9,-0.3,920,6,,,,,,,,,,,,,,,,,,,
25511620,1490486164408,,,,,1,,,-0.01,0.06,0.97,-3.1,0.7,-0.2,980,6,1,0,0.0,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,1.9,134,2.5067,2,0.1833,17.9427,17.8083,135
25511639,1490486164427,,,,,,,,-0.0,0.07,0.98,-3.1,0.7,-0.2,960,6,,,,,,,,,,,,,,,,,,,
25511659,1490486164447,,,,,,,,-0.0,0.08,0.98,-3.1,0.5,-0.2,1000,6,,,,,,,,,,,,,,,,,,,
25511679,1490486164467,,,,,,,,0.0,0.08,0.99,-3.2,0.5,-0.1,1020,6,,,,,,,,,,,,,,,,,,,
25511699,1490486164487,,,,,,,,0.0,0.08,0.99,-3.1,0.3,-0.2,1060,6,,,,,,,,,,,,,,,,,,,
25511721,1490486164509,0,135.9,,157.3,3,155.2,,0.01,0.09,1.0,-3.1,0.3,-0.2,1080,6,1,0,163.333,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,1.9,134,2.5067,2,0.1833,17.9444,17.81,135
25511740,1490486164528,,,,,,,,0.02,0.09,0.99,-3.1,0.3,-0.2,1100,6,,,,,,,,,,,,,,,,,,,
25511760,1490486164548,,,,,,,,0.01,0.09,1.0,-3.1,0.4,-0.3,1100,6,,,,,,,,,,,,,,,,,,,
25511780,1490486164568,,,,,,,,0.01,0.08,1.0,-3.2,0.3,-0.3,1140,6,,,,,,,,,,,,,,,,,,,
25511800,1490486164588,,,,,,,,0.01,0.09,0.99,-3.2,0.2,-0.2,1140,6,,,,,,,,,,,,,,,,,,,
25511822,1490486164610,,,,,3,,,0.02,0.08,1.0,-3.2,0.3,-0.2,1160,6,1,0,180.0,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,2.3,134,2.5067,2,0.1833,17.9461,17.8117,135
25511841,1490486164629,,,,,,,,0.01,0.08,0.99,-3.2,0.2,-0.2,1160,6,,,,,,,,,,,,,,,,,,,
25511861,1490486164649,,,,,,,,0.02,0.08,0.99,-3.2,0.2,-0.2,1160,6,,,,,,,,,,,,,,,,,,,
25511881,1490486164669,,,,,,,,0.02,0.08,0.99,-3.2,0.2,-0.3,1180,6,,,,,,,,,,,,,,,,,,,
25511901,1490486164689,,,,,,,,0.02,0.08,0.99,-3.2,0.2,-0.2,1180,6,,,,,,,,,,,,,,,,,,,
25511923,1490486164711,0,135.4,,156.1,3,154.0,,0.01,0.07,0.98,-3.1,0.3,-0.2,1180,6,1,0,193.333,0,38.159184,-122.454186,0.0,2.409,26.7,9,3,2.3,134,2.5067,2,0.1833,17.9477,17.8133,135
25511942,1490486164730,,,,,,,,0.01,0.07,0.98,-3.1,0.3,-0.2,1180,6,,,,,,,,,,,,,,,,,,,
