"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Distance"|"Miles"|0.0|0.0|10,"Altitude"|"Feet"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
5066,1469915300144,,,,,,,0.06,0.1,1.01,-2.6,-0.6,-0.3,2940,3015,,,,,,,,,,,,,,,,,
5086,1469915300164,,,,,,,0.06,0.08,1.03,-2.7,-0.0,-0.2,2880,3064,,,,,,,,,,,,,,,,,
5106,1469915300184,,,,,,,0.06,0.09,1.02,-2.8,0.3,-0.0,2980,3052,,,,,,,,,,,,,,,,,
5126,1469915300204,,,,,,,0.07,0.07,1.04,-3.0,0.4,0.0,3000,3052,,,,,,,,,,,,,,,,,
5146,1469915300220,,,,57,,,0.07,0.07,1.02,-3.1,0.9,0.1,3100,3126,1.011,4,39.543018,-122.332802,54.83,0.002,304.2,8,2,1.6,0,0.0,-1,0.0,,0.0,0
5166,1469915300240,,,,,,,0.09,0.09,1.05,-3.2,1.7,0.0,3160,3152,,,,,,,,,,,,,,,,,
5186,1469915300260,,,,,,,0.09,0.11,1.05,-3.3,1.5,0.0,3160,3126,,,,,,,,,,,,,,,,,
5206,1469915300280,,,,,,,0.09,0.11,1.02,-3.2,1.4,0.0,3080,3089,,,,,,,,,,,,,,,,,
5226,1469915300303,,,,,,,0.09,0.1,0.99,-2.9,0.9,-0.1,3020,3076,,,,,,,,,,,,,,,,,
5246,1469915300323,0,265.6,206.7,49,210.4,,0.09,0.08,1.01,-2.9,0.8,0.3,3040,3040,1.011,4,39.543041,-122.332802,54.73,0.003,304.4,8,2,1.6,0,0.0,-1,0.0,0.0,0.0,0
