"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
86281,1463878015332,,,,,,,0.01,0.04,1.0,-3.1,-0.4,-0.3,430,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86301,1463878015595,,,,46,,,0.02,0.05,1.0,-3.0,-0.5,-0.3,1000,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86321,1463878015615,,,,,,,0.02,0.05,0.99,-2.9,-0.7,-0.3,1020,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86341,1463878015635,,,,,,,0.03,0.07,0.97,-2.9,-0.8,-0.3,1050,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86361,1463878015655,,,,,,,0.04,0.07,0.95,-2.8,-0.9,-0.3,1070,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86381,1463878015675,,,,,,,0.06,0.07,0.96,-2.8,-0.7,-0.4,1110,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86401,1463878015695,0.393,143,157,50,154,,0.07,0.07,0.94,-2.8,-0.4,-0.3,1110,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,0.0,0.0,0
86421,1463878015715,,,,,,,0.06,0.07,0.95,-2.8,-0.3,-0.3,1060,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86441,1463878015735,,,,,,,0.05,0.06,0.96,-2.9,-0.4,-0.3,1060,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86461,1463878015755,,,,,,,0.05,0.06,0.95,-2.9,-0.5,-0.2,1080,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86481,1463878015775,,,,,,,0.05,0.07,0.96,-2.9,-0.4,-0.2,1040,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86501,1463878015795,,,,52,,,0.05,0.06,0.97,-3.0,-0.4,-0.2,1050,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86521,1463878015815,,,,,,,0.04,0.06,0.98,-3.0,-0.3,-0.2,1060,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86541,1463878015836,,,,,,,0.03,0.06,0.98,-3.0,-0.4,-0.2,1050,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86561,1463878015856,,,,,,,0.04,0.07,0.97,-3.0,-0.5,-0.2,1030,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86581,1463878015875,,,,,,,0.04,0.08,0.97,-3.0,-0.5,-0.1,1030,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86601,1463878015896,0.003,143,158,50,154,,0.05,0.08,0.97,-3.0,-0.4,-0.1,1000,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,0.0,0.0,0
86621,1463878015916,,,,,,,0.04,0.09,0.97,-3.0,-0.4,-0.1,1000,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86641,1463878015936,,,,,,,0.04,0.09,0.98,-3.1,-0.4,-0.1,990,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86661,1463878015956,,,,,,,0.04,0.1,0.97,-3.0,-0.4,-0.0,950,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86681,1463878015972,,,,,,,0.04,0.11,0.97,-3.0,-0.5,-0.0,940,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
86701,1463878015996,,,,52,,,0.03,0.11,0.96,-3.0,-0.6,-0.0,940,0,39.539646,-122.332382,0.0,0.026,306.0,7,3,2.3,0,0.0,-1,0.0,,0.0,0
