"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
318654,1495236434304,,,,,,,,0.02,0.1,0.99,-3.1,-0.1,-0.1,200,0,,,,,,,,,,,,,,,,,,,
318674,1495236434324,0,94.4,,132.9,1,124.0,,0.02,0.09,0.99,-3.2,-0.0,-0.1,200,0,1,0,0.0,0,39.538933,-122.332237,0.0,0.129,293.3,7,3,1.3,0,0.0,-1,0.0,0.0,0.0,0
318694,1495236434344,,,,,,,,0.01,0.09,0.99,-3.2,0.0,0.0,200,0,,,,,,,,,,,,,,,,,,,
318714,1495236434364,,,,,,,,0.02,0.09,0.98,-3.2,0.1,0.1,320,0,,,,,,,,,,,,,,,,,,,
318734,1495236434384,,,,,,,,0.01,0.08,0.99,-3.2,0.1,-0.0,320,0,,,,,,,,,,,,,,,,,,,
318754,1495236434402,,,,,,,,0.01,0.07,0.98,-3.1,0.2,-0.1,460,0,,,,,,,,,,,,,,,,,,,
318774,1495236434422,,,,,2,,,0.01,0.07,0.98,-3.1,0.1,-0.2,460,0,1,0,0.0,0,39.538933,-122.332237,0.0,0.129,293.3,7,3,1.3,0,0.0,-1,0.0,0.0,0.0,0
318794,1495236434442,,,,,,,,0.02,0.08,0.98,-3.1,0.1,-0.2,520,0,,,,,,,,,,,,,,,,,,,
318814,1495236434462,,,,,,,,0.02,0.08,0.99,-3.1,0.1,-0.2,520,0,,,,,,,,,,,,,,,,,,,
318834,1495236434482,,,,,,,,0.02,0.07,0.98,-3.1,0.2,-0.1,500,0,,,,,,,,,,,,,,,,,,,
